Date,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Daylight_x,avg_Tavg_x,avg_PrecipTotal_x,avg_AvgSpeed_x,TimeLaggedDaylight_x,TimeLaggedTemperature_x,TimeLaggedPrecipitation_x,TimeLaggedWindspeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y,Daylight_y
2007-05-01,83,50,67.0,14,51,56,0,2,0.0,29.1,29.82,1.7,27,9.2,14,67.5,0.0,9.399999999999999,12.376468451672308,67.5,0.0,9.399999999999999,84,52,68.0,51,57,0,3,0.0,29.18,29.82,2.7,25,9.6,14
2007-05-02,59,42,51.0,-3,42,47,14,0,0.0,29.38,30.09,13.0,4,13.4,14,51.5,0.0,13.4,12.423741817344645,59.5,0.0,11.399999999999999,60,43,52.0,42,47,13,0,0.0,29.44,30.08,13.3,2,13.4,14
2007-05-03,66,46,56.0,2,40,48,9,0,0.0,29.39,30.12,11.7,7,11.9,14,57.0,0.0,12.55,12.470968031445773,58.666666666666664,0.0,11.783333333333331,67,48,58.0,40,50,7,0,0.0,29.46,30.12,12.9,6,13.2,14
2007-05-04,66,49,58.0,4,41,50,7,0,0.005,29.31,30.05,10.4,8,10.8,14,61.0,0.0025,10.600000000000001,12.518141212943258,59.25,0.000625,11.487499999999997,78,51,64.0,42,50,7,0,0.0,29.36,30.04,10.1,7,10.4,14
2007-05-05,66,53,60.0,5,38,49,5,0,0.005,29.4,30.1,11.7,7,12.0,14,60.0,0.005,11.75,12.56525541369225,59.4,0.0015,11.539999999999997,66,54,60.0,39,50,5,0,0.005,29.46,30.09,11.2,7,11.5,14
2007-05-06,68,49,59.0,4,30,46,6,0,0.0,29.57,30.29,14.4,11,15.0,14,59.5,0.0,14.75,12.612304605725706,59.416666666666664,0.00125,12.074999999999998,68,52,60.0,30,46,5,0,0.0,29.62,30.28,13.8,10,14.5,14
2007-05-07,83,47,65.0,10,41,54,0,0,0.005,29.38,30.12,8.6,18,10.5,14,66.0,0.0025,10.2,12.659282668651404,60.357142857142854,0.0014285714285714284,11.807142857142853,84,50,67.0,39,53,0,2,0.0,29.44,30.12,8.5,17,9.9,14
2007-05-08,82,54,68.0,12,58,62,0,3,0.0,29.29,30.03,2.7,11,5.8,14,69.0,0.0025,5.6,12.706183377161892,61.4375,0.0015624999999999997,11.031249999999996,80,60,70.0,57,63,0,5,0.005,29.36,30.02,2.5,8,5.4,14
2007-05-09,77,61,69.0,13,59,63,0,4,0.13,29.21,29.94,3.9,9,6.2,14,69.5,0.075,6.050000000000001,12.753000388664283,61.6875,0.009722222222222222,10.477777777777776,76,63,70.0,60,63,0,5,0.02,29.28,29.93,3.9,7,5.9,14
2007-05-10,84,56,70.0,14,52,60,0,5,0.0,29.2,29.92,0.7,17,4.1,14,70.5,0.0,4.0,12.799727231037824,64.0625,0.008749999999999999,9.829999999999998,83,59,71.0,52,61,0,6,0.0,29.26,29.91,2.0,9,3.9,14
2007-05-11,70,51,61.0,4,42,51,4,0,0.0,29.33,30.04,11.3,3,12.9,14,61.0,0.0,12.850000000000001,12.84635729052818,64.5625,0.007954545454545454,10.104545454545452,73,49,61.0,44,51,4,0,0.0,29.39,30.03,11.7,36,12.8,14
